file,title,author,licenses,genre,bpm,length,source_page,size_bytes
tracks/inc_Goblin_Tinker_Soldier_Spy.mp3,Goblin Tinker Soldier Spy,Kevin MacLeod,CC-BY 4.0,25,101,00:02:16,https://incompetech.com/music/royalty-free/,2724203
tracks/inc_Morning.mp3,Morning,Kevin MacLeod,CC-BY 4.0,5,60,00:02:33,https://incompetech.com/music/royalty-free/,3068475
tracks/inc_Paradise_Found.mp3,Paradise Found,Kevin MacLeod,CC-BY 4.0,25,105,00:03:07,https://incompetech.com/music/royalty-free/,3751848
tracks/inc_Mesmerizing_Galaxy_Loop.mp3,Mesmerizing Galaxy,Kevin MacLeod,CC-BY 4.0,7,124,00:01:32,https://incompetech.com/music/royalty-free/,2979130
tracks/inc_Southern_Gothic.mp3,Southern Gothic,Kevin MacLeod,CC-BY 4.0,5,126,00:02:27,https://incompetech.com/music/royalty-free/,2946231
tracks/inc_Fox_Tale_Waltz_Part_1.mp3,Fox Tale Waltz Part 1,Kevin MacLeod,CC-BY 4.0,4,186,00:07:09,https://incompetech.com/music/royalty-free/,8584924
tracks/inc_Sergio_s_Magic_Dustbin.mp3,Sergio's Magic Dustbin,Kevin MacLeod,CC-BY 4.0,22,204,00:02:31,https://incompetech.com/music/royalty-free/,4850751
tracks/inc_Vibing_Over_Venus.mp3,Vibing Over Venus,Kevin MacLeod,CC-BY 4.0,11,94,00:06:51,https://incompetech.com/music/royalty-free/,8225055
tracks/inc_Boogie_Party.mp3,Boogie Party,Kevin MacLeod,CC-BY 4.0,19,178,00:04:32,https://incompetech.com/music/royalty-free/,5437265
tracks/inc_I_Got_a_Stick_Feat_James_Gavins.mp3,I Got a Stick Feat James Gavins,Kevin MacLeod,CC-BY 4.0,8,121,00:00:31,https://incompetech.com/music/royalty-free/,626070
tracks/inc_Evening.mp3,Evening,Kevin MacLeod,CC-BY 4.0,5,101,00:03:06,https://incompetech.com/music/royalty-free/,3727283
tracks/inc_I_Got_a_Stick_Arr_Bryan_Teoh.mp3,I Got a Stick Arr Bryan Teoh,Kevin MacLeod,CC-BY 4.0,8,121,00:00:31,https://incompetech.com/music/royalty-free/,626053
tracks/inc_Space_Jazz.mp3,Space Jazz,Kevin MacLeod,CC-BY 4.0,11,89,00:06:10,https://incompetech.com/music/royalty-free/,7392261
tracks/inc_Adventures_in_Adventureland.mp3,Adventures in Adventureland,Kevin MacLeod,CC-BY 4.0,22,135,00:04:21,https://incompetech.com/music/royalty-free/,5227256
tracks/inc_Brain_Dance.mp3,Brain Dance,Kevin MacLeod,CC-BY 4.0,7,124,00:03:35,https://incompetech.com/music/royalty-free/,6881197
tracks/inc_Cretaceous_Dawn.mp3,Cretaceous Dawn,Kevin MacLeod,CC-BY 4.0,25,96,00:04:05,https://incompetech.com/music/royalty-free/,4903512
tracks/inc_Dentaneosuchus_Hunt.mp3,Dentaneosuchus Hunt,Kevin MacLeod,CC-BY 4.0,25,114,00:04:07,https://incompetech.com/music/royalty-free/,4932317
tracks/inc_Equatorial_Complex.mp3,Equatorial Complex,Kevin MacLeod,CC-BY 4.0,7,0,00:03:00,https://incompetech.com/music/royalty-free/,7686186
tracks/inc_Journey_To_Ascend.mp3,Journey To Ascend,Kevin MacLeod,CC-BY 4.0,25,116,00:03:39,https://incompetech.com/music/royalty-free/,4389750
tracks/inc_Galactic_Rap.mp3,Galactic Rap,Kevin MacLeod,CC-BY 4.0,7,120,00:02:22,https://incompetech.com/music/royalty-free/,4549821
tracks/inc_That_Zen_Moment.mp3,That Zen Moment,Kevin MacLeod,CC-BY 4.0,25,0,00:10:02,https://incompetech.com/music/royalty-free/,12038401
tracks/inc_Cloud_Dancer.mp3,Cloud Dancer,Kevin MacLeod,CC-BY 4.0,7,214,00:03:40,https://incompetech.com/music/royalty-free/,7040022
tracks/inc_Sauropod_Spotting.mp3,Sauropod Spotting,Kevin MacLeod,CC-BY 4.0,25,105,00:03:45,https://incompetech.com/music/royalty-free/,4506075
tracks/inc_Lord_of_the_Rangs.mp3,Lord of the Rangs,Kevin MacLeod,CC-BY 4.0,25,104,00:02:34,https://incompetech.com/music/royalty-free/,2959904
tracks/inc_Grand_Dark_Waltz_Trio_Vivace.mp3,Grand Dark Waltz Trio Vivace,Kevin MacLeod,CC-BY 4.0,24,140,00:02:52,https://incompetech.com/music/royalty-free/,3449364
tracks/inc_Starting_Out_Waltz_Vivace.mp3,Starting Out Waltz Vivace,Kevin MacLeod,CC-BY 4.0,5,186,00:02:54,https://incompetech.com/music/royalty-free/,3499005
tracks/inc_Grand_Dark_Waltz_Trio_Allegro.mp3,Grand Dark Waltz Trio Allegro,Kevin MacLeod,CC-BY 4.0,24,124,00:03:14,https://incompetech.com/music/royalty-free/,3893981
tracks/inc_Fox_Tale_Waltz_Part_1_Instrumental.mp3,Fox Tale Waltz Part 1 Instrumental,Kevin MacLeod,CC-BY 4.0,4,186,00:07:09,https://incompetech.com/music/royalty-free/,8585059
tracks/inc_Grand_Dark_Waltz_Moderato.mp3,Grand Dark Waltz Moderato,Kevin MacLeod,CC-BY 4.0,24,92,00:08:27,https://incompetech.com/music/royalty-free/,10153437
tracks/inc_Adeste_Fideles_Shorter.mp3,Adeste Fideles (Shorter),Kevin MacLeod,CC-BY 4.0,9,105,00:01:24,https://incompetech.com/music/royalty-free/,1700212
tracks/inc_Devonshire_Waltz_Allegretto.mp3,Devonshire Waltz Allegretto,Kevin MacLeod,CC-BY 4.0,22,104,00:05:13,https://incompetech.com/music/royalty-free/,6271644
tracks/inc_Grand_Dark_Waltz_Allegro.mp3,Grand Dark Waltz Allegro,Kevin MacLeod,CC-BY 4.0,24,121,00:06:25,https://incompetech.com/music/royalty-free/,7709420
tracks/inc_Adeste_Fideles_Waltz.mp3,Adeste Fideles Waltz,Kevin MacLeod,CC-BY 4.0,9,105,00:02:19,https://incompetech.com/music/royalty-free/,2799963
tracks/inc_Funky_Boxstep_.mp3,Funky Boxstep,Kevin MacLeod,CC-BY 4.0,8,95,00:05:16,https://incompetech.com/music/royalty-free/,6331711
tracks/inc_Grand_Dark_Waltz_Allegretto.mp3,Grand Dark Waltz Allegretto,Kevin MacLeod,CC-BY 4.0,24,104,00:07:29,https://incompetech.com/music/royalty-free/,8999872
tracks/inc_Burn_The_World_Waltz_.mp3,Burn The World Waltz,Kevin MacLeod,CC-BY 4.0,19,177,00:03:20,https://incompetech.com/music/royalty-free/,4003696
tracks/inc_Feral_Angel_Waltz_.mp3,Feral Angel Waltz,Kevin MacLeod,CC-BY 4.0,19,177,00:05:32,https://incompetech.com/music/royalty-free/,6643627
