file,title,author,licenses,source_page,size_bytes
bulk/breakfast-blend/420_Breakfast_Blend_0.mp3,Breakfast Blend,Macro,CC-BY 4.0,https://opengameart.org/content/breakfast-blend,3122198
bulk/dungeon-blue/dungeonblue.ogg,Dungeon Blue,JoshMckay,CC0,https://opengameart.org/content/dungeon-blue,4959815
bulk/dirt-1/GTDStudio - Dirt.ogg,Dirt,GTDStudio aka Palrom,OGA-BY 3.0,https://opengameart.org/content/dirt-1,4417054
bulk/slampe-synthwave-house/slampe_0.ogg,Slampe - Synthwave House,Fupi,CC0,https://opengameart.org/content/slampe-synthwave-house,2506375
bulk/chillwave-nightdrive-bogart-vgm-hitctrl-lsao/chillwavenightdrivemixver2_0.ogg,Chillwave Nightdrive (Bogart VGM & Hitctrl & LSAo),glitchart,CC-BY 3.0; CC-BY 4.0; OGA-BY 3.0,https://opengameart.org/content/chillwave-nightdrive-bogart-vgm-hitctrl-lsao,6414591
bulk/ragtime-jazz/ragtime.mp3,Ragtime! Jazz,Tarush Singhal,CC0,https://opengameart.org/content/ragtime-jazz,4475590
bulk/jrpg2-piano/JRPG2 Piano.mp3,JRPG2 Piano,Joth,CC0; Public Domain,https://opengameart.org/content/jrpg2-piano,645141
bulk/journey-collection-part-3/track_22_3.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,6759210
bulk/journey-collection-part-3/track_23_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,3931338
bulk/journey-collection-part-3/track_21_3.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,9387550
bulk/dance-and-jump-loop/Dance and Jump.ogg,Dance and Jump Loop,Snabisch,CC-BY 3.0,https://opengameart.org/content/dance-and-jump-loop,4483484
bulk/journey-collection-part-3/track_25_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,4102254
bulk/journey-collection-part-3/track_24_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,6229601
bulk/journey-collection-part-3/track_27_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,2910046
bulk/journey-collection-part-3/track_26_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,6403965
bulk/journey-collection-part-3/track_28_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,4898810
bulk/journey-collection-part-3/track_30_0.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,5039056
bulk/victory-victory-victory/snd_music2_0.ogg,Victory! Victory! Victory!,Spring Spring,CC0,https://opengameart.org/content/victory-victory-victory,2334637
bulk/victory-victory-victory/snd_music_victorytheme_0.ogg,Victory! Victory! Victory!,Spring Spring,CC0,https://opengameart.org/content/victory-victory-victory,2155311
bulk/journey-collection-part-3/track_29_1.ogg,Journey Collection [Part 3],user09032001,CC-BY 3.0; CC-BY 4.0; CC0,https://opengameart.org/content/journey-collection-part-3,9863171
bulk/victory-victory-victory/snd_music3_0.ogg,Victory! Victory! Victory!,Spring Spring,CC0,https://opengameart.org/content/victory-victory-victory,3296781
bulk/big-trance-by-kris-klavenes-for-game/big_trance_by_kris_klavenes_for_game_02_10_2021.mp3,big trance by kris klavenes for game,klavo85,CC-BY 4.0,https://opengameart.org/content/big-trance-by-kris-klavenes-for-game,4176813
bulk/just-you-and-me-guitar/Just you and me_2.mp3,Just you and me Guitar,Pro Sensory,CC0,https://opengameart.org/content/just-you-and-me-guitar,2378022
bulk/16bit-success-sound/sfx_-_success.ogg,16bit Success sound,flush,CC0,https://opengameart.org/content/16bit-success-sound,58364
bulk/piano-5/piano 5.mp3,piano 5,hectavex,CC-BY 3.0,https://opengameart.org/content/piano-5,241945
bulk/mushroom-dance/mushroom dance_0.ogg,Mushroom Dance,bart,CC-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/mushroom-dance,2283709
bulk/trance-trap-electronic-237/Vaporwave_0.ogg,Trance / trap / electronic [2:37],Dizzy Crow,CC0,https://opengameart.org/content/trance-trap-electronic-237,3820081
bulk/lovely-town/Lovely town_0.ogg,Lovely Town,fluffclipse,CC0,https://opengameart.org/content/lovely-town,3822629
bulk/rock-theme/Тема для меню. (promodj.com).mp3,Rock theme,obscure music,CC0; Public Domain,https://opengameart.org/content/rock-theme,2701062
bulk/battle-theme-ii/Battle Theme II v1.2_0.mp3,Battle Theme II,Mega Pixel Music Lab,CC-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/battle-theme-ii,3956506
bulk/tension/Komiku - It's time for adventure vol 2 - 12 Tension_0.mp3,Tension,Loyalty Freak Music,CC0,https://opengameart.org/content/tension,8199260
