[evocraft-client] starting — target=127.0.0.1:7888
[evocraft-client] S_HELLO  proto=1 name=evocraft-server M1
[evocraft-client] S_TICK   tick=1 simTime=1.025
[evocraft-client] S_TICK   tick=2 simTime=2.026
[evocraft-client] S_TICK   tick=3 simTime=3.028
[evocraft-client] S_TICK   tick=4 simTime=4.029
[evocraft-client] S_TICK   tick=5 simTime=5.032
[evocraft-client] S_TICK   tick=6 simTime=6.034
[evocraft-client] S_TICK   tick=7 simTime=7.036
[evocraft-client] S_TICK   tick=8 simTime=8.037
[evocraft-client] S_TICK   tick=9 simTime=9.040
[evocraft-client] S_TICK   tick=10 simTime=10.042
[evocraft-client] handshake OK (10 ticks received)
